Title,Year,DOI,PMID,Journal,Abstract,Source
Specific inhibitors prevent proteolytic degradation of recombinant proteins expressed in High Five cells.,2001,10.2144/01304st04,11314261,BioTechniques,"The insect cell line BTI-TN-5B1-4 (High Five) is frequently used to express recombinant proteins in large amounts using the baculovirus expression system. However, extensive proteolytic degradation of recombinant proteins is often encountered. Furthermore, we have observed that recombinant proteins migrate in SDS-PAGE in agreement with poly-ubiquitinated forms of the protein, suggesting a ubiquitin/proteasome degradation pathway. Here, we describe a systematic study unraveling the effect of adding proteasome inhibitors or specific protease inhibitors to the growth medium of High Five insect cells infected with recombinant baculovirus. Furthermore, protease inhibitors were added to the lysis buffer to establish the most efficient way to inhibit proteolytic activity after lysis of baculovirus-infected cells expressing recombinant proteins. We conclude that a combination of adding protease inhibitors to the growth medium and to the lysis buffer minimizes the proteolytic activity in High Five cells. The most efficient protease inhibitors were E-64 in the growth medium together with Leupeptin in the lysis buffer at concentrations higher than with available cocktails of inhibitors. The optimal treatment of High Five cells is different from the optimal treatment of Sf9 cells. For proteins susceptible to ubiquitinylation, a treatment of insect cell cultures with the proteasome inhibitor MG132 (LLL) leads to a considerable reduction of the yield of production of recombinant protein.",PubMed
"Revisiting the lysogenization control of bacteriophage lambda. Identification and characterization of a new host component, HflD.",2001,10.1074/jbc.M011699200,11278968,The Journal of biological chemistry,"Upon infection to the Escherichia coli cell, the genome of bacteriophage lambda either replicates to form new progenies (lytic growth) or integrates into the host chromosome (lysogenization). The lambda CII protein is a key determinant in the lysis-lysogeny decision. It is a short-lived transcription activator for the lambda genes essential for lysogeny establishment. In this study, we isolated a new class of hfl (high frequency lysogenization) mutants of E. coli, using a new selection for enhancement of CII-stimulated transcription. The gene affected was termed hflD, which encodes a protein of 213 amino acids. An hflD-disrupted mutant indeed showed an Hfl phenotype, indicating that HflD acts to down-regulate lysogenization. HflD is associated peripherally with the cytoplasmic membrane. Its interaction with CII was demonstrated in vitro using purified proteins as well as in vivo using the bacterial two-hybrid system. Pulse-chase examinations demonstrated that the HflD function is required for the rapid in vivo degradation of CII, although it interfered with FtsH-mediated CII proteolysis in an in vitro reaction system using detergent-solubilized components. We suggest that HflD is a factor that sequesters CII from the target promoters and recruits it to the membrane where the FtsH protease is localized.",PubMed
Quantification of in vitro retroviral replication using a one-tube real-time RT-PCR system incorporating direct RNA preparation.,2001,10.1016/s0166-0934(00)00259-7,11164496,Journal of virological methods,"The methodological and logistic benefits gained from assessing in vitro antiretroviral replication using one-tube real-time RT-PCR procedures are currently diminished by a continuing need for prior RNA isolation. We now report a simple and inexpensive modification of a commercially available one-tube RT-PCR assay, consisting of detergent-based virus lysis in the presence of a ribonuclease inhibitor, which can be used to directly quantify retroviral RNA levels in culture supernatant. This approach circumvents the potential loss of RNA inherent to RNA-isolation procedures based on prior extraction and demonstrates a dynamic range of at least 4 logs. Using in vitro culture systems incorporating either HIV-1 or FIV, we show that this ability to isolate retroviral RNA directly during the RT-PCR process can provide an equivalent alternative to one of the more time and resource-consuming steps in quantifying in vitro retroviral RNA levels.",PubMed
Escherichia coli strains blocked in Tat-dependent protein export exhibit pleiotropic defects in the cell envelope.,2001,10.1128/JB.183.1.139-144.2001,11114910,Journal of bacteriology,"The Tat system is a recently discovered protein export pathway that serves to translocate folded proteins, often containing redox cofactors, across the bacterial cytoplasmic membrane. Here we report that tat strains are associated with a mutant cell septation phenotype, where chains of up to 10 cells are evident. Mutant strains are also hypersensitive to hydrophobic drugs and to lysis by lysozyme in the absence of EDTA, and they leak periplasmic enzymes, characteristics that are consistent with an outer membrane defect. Both phenotypes are similar to those displayed by strains carrying point mutations in the lpxC (envA) gene. The phenotype was not replicated by mutations affecting synthesis and/or activity of all known or predicted Tat substrates.",PubMed
[Construction and bioassay of secondary recombinant baculovirus with two foreign gene].,2000,,11051817,Sheng wu gong cheng xue bao = Chinese journal of biotechnology,"Plasmid pAcLEneo which bears neomycin gene derived by the baculovirus IE1 promotor was digested and the gene was harvested. A transfer vector pAc34DZ2 in which the polyhedrin envelope gene has been inactivated by insertion of expression cassette of PIE1/neo was constructed by inserting the neo cassette into the SacI site of plasmid pAc34DZ1. We have constructed the polyhedrin positive recombinant virus (I) vAcPhBtT which was able to express Bt truncated endotoxin gene. In order to improve the insecticide efficiency of recombinant virus (I), an anti-neomycin recombinant virus (II) vAcPhBtTPE- was obtained by second co-transfection into the Sf9 cells with pAc34DZ2 and recombinant virus (I) DNA. Southern blot and SDS-PAGE analysis indicated that the recombinant virus (II) was still able to express the 80 kD Bt truncated delta-endotoxin, but did not express the 34 kD polyhedrin envelope protein. The recombinant virus (II) without envelope released virion faster than recombinant virus (I) after alkaline lysis. Bioassay was carried out using Spodoera exigua. LC50 of the recombinant virus (II) was about half of wild type virus and LT50 reduced about two days.",PubMed
Dimerization between the holin and holin inhibitor of phage lambda.,2000,10.1128/JB.182.21.6075-6081.2000,11029427,Journal of bacteriology,"Holins are integral membrane proteins that control the access of phage-encoded muralytic enzymes, or endolysins, to the cell wall by the sudden formation of an uncharacterized homo-oligomeric lesion, or hole, in the membrane, at a precisely defined time. The timing of lambda-infected cell lysis depends solely on the 107 codon S gene, which encodes two proteins, S105 and S107, which are the holin and holin inhibitor, respectively. Here we report the results of biochemical and genetic studies on the interaction between the holin and the holin inhibitor. A unique cysteine at position 51, in the middle of the second transmembrane domain, is shown to cause the formation of disulfide-linked dimers during detergent membrane extraction. Forced oxidation of membranes containing S molecules also results in the formation of covalently linked dimers. This technique is used to demonstrate efficient dimeric interactions between S105 and S107. These results, coupled with the previous finding that the timing of lysis depends on the excess of the amount of S105 over S107, suggest a model in which the inhibitor functions by titrating out the effector in a stoichiometric fashion. This provides a basis for understanding two evolutionary advantages provided by the inhibitor system, in which the production of the inhibitor not only causes a delay in the timing of lysis, allowing the assembly of more virions, but also increases effective hole formation after triggering.",PubMed
Selective membrane permeabilization by the rotavirus VP5* protein is abrogated by mutations in an internal hydrophobic domain.,2000,10.1128/jvi.74.14.6368-6376.2000,10864647,Journal of virology,"Rotavirus infectivity is dependent on the proteolytic cleavage of the VP4 spike protein into VP8* and VP5* proteins. Proteolytically activated virus, as well as expressed VP5*, permeabilizes membranes, suggesting that cleavage exposes a membrane-interactive domain of VP5* which effects rapid viral entry. The VP5* protein contains a single long hydrophobic domain (VP5*-HD, residues 385 to 404) at an internal site. In order to address the role of the VP5*-HD in permeabilizing cellular membranes, we analyzed the entry of o-nitrophenyl-beta-D-galactopyranoside (ONPG) into cells induced to express VP5* or mutated VP5* polypeptides. Following IPTG (isopropyl-beta-D-thiogalactopyranoside) induction, VP5* and VP5* truncations containing the VP5*-HD permeabilized cells to the entry and cleavage of ONPG, while VP8* and control proteins had no effect on cellular permeability. Expression of VP5* deletions containing residues 265 to 474 or 265 to 404 permeabilized cells; however, C-terminal truncations which remove the conserved GGA (residues 399 to 401) within the HD abolished membrane permeability. Site-directed mutagenesis of the VP5-HD further demonstrated a requirement for residues within the HD for VP5*-induced membrane permeability. Functional analysis of mutant VP5*s indicate that conserved glycines within the HD are required and suggest that a random coiled structure rather than the strictly hydrophobic character of the domain is required for permeability. Expressed VP5* did not alter bacterial growth kinetics or lyse bacteria following induction. Instead, VP5*-mediated size-selective membrane permeability, releasing 376-Da carboxyfluorescein but not 4-kDa fluorescein isothiocyanate-dextran from preloaded liposomes. These findings suggest that the fundamental role for VP5* in the rotavirus entry process may be to expose triple-layered particles to low [Ca](i), which uncoats the virus, rather than to effect the detergent-like lysis of early endosomal membranes.",PubMed
The usefulness of blood culture in diagnosing HIV-related systemic mycoses: evaluation of a manual lysis centrifugation method.,2000,10.1080/mmy.38.1.77.80,10746231,Medical mycology,"The results of 5034 blood cultures, implementing a lysis-centrifugation method with saponin, are summarized in this paper. Three hundred and twenty-two blood samples (6.3%) obtained from a pool of human immunodeficiency virus (HIV)-positive patients yielded fungi. Cryptococcus neoformans was isolated in 199 samples (3.95%), Histoplasma capsulatum in 95 (1.89%). Candida parapsilosis in 12 (0.23%), C. albicans in 7 (0.13%), C. tropicalis in 2, C. krusei in 1, C. guillermondii in 1, and Prototheca wickerhamii in 4 (0.07%). Blood cultures were positive for C. neoformans in 76.23% of patients having a diagnosis of cryptococcosis and in 89.65% of those who had histoplasmosis. The blood culture was the first means of confirming the diagnosis in 23.8% of the patients with cryptococcosis and in 54% with histoplasmosis. In the four patients in whom P. wickerhamii was isolated, a diagnosis of disseminated protothecosis was not achieved by other findings. Catheter infections were responsible for the majority of recovered Candida spp.",PubMed
Purification of his-tagged proteins by immobilized chelate affinity chromatography: the benefits from the use of organic solvent.,2000,10.1006/prep.1999.1162,10648174,Protein expression and purification,"Recombinant proteins overexpressed in and purified from Escherichia coli contain impurities that are toxic in biological assays. The application of affinity purification procedures is often not sufficient to remove these toxic components. We here describe a simple and fast, one-step protocol to remove these impurities highly efficiently. Four recombinant proteins were overexpressed in E. coli as His-tagged fusion proteins and purified by immobilized metal chelate affinity chromatography on Ni-NTA beads. Depending on the protein, the composition of the lysis buffer, and the washing protocol, various impurities appeared to be present in the purified protein preparations. Here we show how the use of 60% isopropanol during washing steps removed most of these contaminants from the end products. In addition to the removal of proteins that aspecifically adhere to the beads or to the tagged protein, this procedure was particularly useful in removing endotoxins. Moreover, we show that detergents such as NP-40, that are necessarily employed during lysis, are also efficiently removed. Finally, we show that proteins are able to refold correctly after isopropanol treatment. Thus, the resulting end products contain significantly less contaminating E. coli proteins, endotoxins, and detergents.",PubMed
Quantitation of adenovirus DNA and virus particles with the PicoGreen fluorescent Dye.,1999,10.1006/abio.1999.4282,10527527,Analytical biochemistry,"A microplate assay for the rapid quantitation of adenovirus DNA has been developed using the fluorescent dye PicoGreen, which selectively binds double-stranded DNA. The method was first applied to extracted adenoviral DNA and then extended to samples of intact, purified adenovirus after lysis of the viral capsid with the ionic detergent SDS. Utilizing the stoichiometric relationship between adenovirus DNA and intact particles, a physical particle count of intact virus is then derived for the sample. This PicoGreen-based assay has excellent reproducibility, linearity, and sensitivity. In its present form, this assay has a limit of quantitation of 10.3 ng/ml viral DNA, predicted to correspond to 2.6 x 10(8) virus particles/ml. This procedure was compared to a widely utilized spectroscopic method, in which samples are lysed with SDS and absorbance is read at 260 nm, and found to be 10- to 20-fold more sensitive. The dye binding assay also uses considerably less sample volume (<20%) than that needed for the spectroscopic method. Particle count values generated by the PicoGreen procedure are consistently lower (typically 1.5- to 2-fold) than this spectroscopic method. The applications and limitations of this method in the analysis of adenovirus samples are discussed.",PubMed
A simple and rapid method for preparation of viral DNA from cell associated cytomegalovirus.,1999,10.1016/s0166-0934(99)00058-0,10488769,Journal of virological methods,"In the field of human cytomegalovirus pathogenesis there is growing interest in analyzing recent clinical isolates rather than cell culture adapted laboratory strains. However, true low passage isolates are strictly cell associated prior to cell culture adaptation and only a minor fraction of cells are infected at low passage number. Both conditions hinder the preparation of pure viral DNA. To date, genetic analyses had been carried out mostly with supernatant associated cytomegalovirus. A rapid and simple method is described for preparation of viral DNA from low passage cell associated isolates with little cytopathogenic effect. The protocol is based on a combination of Triton X-100 lysis, nuclease treatment, and subsequent phenol chloroform extraction. Cellular background was reduced significantly to enable clear detection of all viral DNA fragments in restriction fragment length analysis. The method yielded DNA which was suitable for downstream applications like cloning of viral DNA fragments or transfection of genomic viral DNA. This method may facilitate genomic analyses of pathogenic cell associated recent cytomegalovirus isolates.",PubMed
Altered biological properties of cell membranes in Escherichia coli dnaA and seqA mutants.,1999,10.1007/s004380050019,10394913,Molecular & general genetics : MGG,"We present evidence that biological properties of cell membranes are altered in dnaA and seqA mutants of Escherichia coli relative to wild-type bacteria. We found that bacteriophage lambda forms extremely large plaques on the dnaA seqA double mutants. On the single mutants, dnaA and seqA, the plaques are also bigger than those formed on the wild-type host. However, no significant differences in intracellular phage lambda development were observed between wild-type and mutant hosts, indicating that differences in burst size do not account for the observed differences in plaque size. On the other hand, more efficient release of the phage lytic proteins and/or higher sensitivity of the cell membranes to these proteins may result in more efficient cell lysis. We found that the efficiency of adsorption of bacteriophage lambda to the dnaA seqA mutant cells is decreased at 0 degrees C , but not at 30 degrees C, relative to the wild-type strain. A considerable increase in the permeability of membranes of the mutant cells for beta-galactosidase is demonstrated. The dnaA and seqA mutants are more sensitive to ethanol (an organic solvent) than wild-type bacteria, and the seqA strain and the double mutant dnaA seqA are very sensitive to deoxycholate (a detergent). We conclude that lesions in the genes dnaA and seqA result in alterations in cell membranes, such that the permeability and possibly also other properties of the membranes are significantly altered relative to wild-type bacteria.",PubMed
Effect of rev on the cytoplasmic localization of intron-containing human immunodeficiency virus type 1 RNA.,1999,10.1006/viro.1998.9584,10069949,Virology,"Human immunodeficiency virus type 1 (HIV-1) proteins are expressed from both intron-containing and completely spliced RNAs. Rev, an HIV-1 regulatory protein, is necessary for the expression of intron-containing RNAs. The effect of Rev on the subcellular localization of intron-containing HIV-1 RNA was examined by in situ RNA hybridization. In the presence of Rev, intron-containing HIV-1 RNA accumulated at the nuclear membrane and within the cytoplasm of transfected cells. In the absence of Rev, intron-containing HIV-1 RNA accumulated within the nucleus. In approximately 20% of the cells transfected in the absence of Rev, intron-containing HIV-1 RNA was also found in the cytoplasm. Differences in the subcytoplasmic localization of intron-containing HIV-1 RNA in the presence and absence of Rev were not observed using in situ RNA hybridization. To determine the effect of Rev on RNA localization within the cytoplasm, an extensive fractionation protocol involving both hypotonic and detergent lysis was used. In the presence of Rev, 40.9 +/- 4.6% of the cytoplasmic intron-containing HIV-1 RNA was released by hypotonic lysis. A similar fractionation profile was seen for several other translated viral and cellular RNAs. However, in the absence of Rev, only 16.5 +/- 5.1% of the cytoplasmic intron-containing HIV-1 RNA was released on hypotonic lysis (P < 0. 005). Thus the cytoplasmic fractionation pattern of this RNA was altered in the absence of Rev.",PubMed
Telomerase is strongly activated in hepatocellular carcinoma but not in chronic hepatitis and cirrhosis.,1998,10.1038/emm.1998.5,9873820,Experimental & molecular medicine,"Telomerase is highly activated in human immortal cell lines and tumor tissues, whereas it is not activated in primary cell strains and many tumor-adjacent tissues. It is suggested that telomerase activation is one of the critical steps in malignant transformation. In the present study, the telomerase activity was investigated in hepatocellular carcinoma tissues and non-tumor liver tissues from Korean patients with chronic hepatitis and cirrhosis. Eighty two liver tissues (24 chronic hepatitis specimens, 34 cirrhosis specimens, and 24 hepatocellular carcinomas) were obtained from 23 chronic viral hepatitis patients, 19 cirrhosis patients (including 7 liver transplants), and 24 patients with hepatocellular carcinoma, of which the surrounding non-tumor liver tissues were available in 16 patients (1 chronic hepatitis and 15 cirrhosis). As negative controls, 3 normal liver tissues were included. Protein from liver specimens was purified by a detergent lysis method as described elsewhere, and telomerase activity was measured in 2 diluents of each sample (1:1 and 1:100) by a telomeric repeat amplification protocol (TRAP). Telomerase was strongly activated in 79% (19/24) of the hepatocellular carcinomas, while weakly in 8% (2/24) of the chronic hepatitis tissues and in 24% (8/34) of the cirrhosis tissues. All of 3 normal control livers showed no telomerase activation. No relationship could be observed between the enhancement of telomerase activity and tumor nature. None of the chronic heaptitis or cirrhosis patients with mild telomerase activation in the liver have developed hepatocellular carcinoma for at least 2 years of follow-up period. These results suggest that the strong enhancement of telomerase activity may be a critical part of hepatocarcinogenesis, although the exact mechanism of such high activation in hepatocellular carcinoma is not clear. In addition, further study will be necessary to clarify the reason why no telomerase activity detectable by a conventional TRAP can be seen in some hepatocellular carcinoma.",PubMed
Roles of the periplasmic domain of Escherichia coli FtsH (HflB) in protein interactions and activity modulation.,1998,10.1074/jbc.273.35.22326,9712851,The Journal of biological chemistry,"FtsH is a membrane-bound and ATP-dependent protease of Escherichia coli, known to degrade SecY, a membrane protein for protein translocation, and CII, a soluble transcription factor for lysis/lysogeny decision of phage lambda. FtsH forms a homo-oligomeric complex as well as a hetero-oligomeric complex with HflKC, a putative modulator of FtsH. Although FtsH has a small periplasmic region, HflKC is mostly exposed to the periplasmic space. We studied the roles of the periplasmic region of FtsH by engineering mutations in this protein. FtsHDelta236, lacking most of the periplasmic region, retained the in vivo ability to degrade SecY but not CII, resulting in high frequency lysogenization of lambda. Several insertion mutations in the periplasmic region of FtsH also differentially affected the proteolytic activities of FtsH. Interestingly, purified and detergent-solubilized FtsHDelta236 was as active as the wild-type enzyme in degrading SecY and CII, although its ATPase activity was lowered 5-fold. Affinity chromatography using histidine-tagged derivatives showed that the periplasmic domain-deleted FtsH no longer interacted with FtsH or HflKC. Although FtsHDelta236-His6-Myc lost the static FtsH-FtsH interaction, it retained the ability to change its conformation in an ATP-dependent manner at 37 degreesC, leading to a limited oligomerization. These results suggest that the periplasmic region of FtsH has crucial roles in the protein-protein interactions of this complex and in the modulation of its proteolytic functions against different substrates.",PubMed
Purification of untagged retroviral integrases by immobilized metal ion affinity chromatography.,1998,10.1006/prep.1997.0818,9473464,Protein expression and purification,"We have developed a simple protocol for the purification of untagged retroviral integrases expressed in bacterial cells. The method takes advantage of the inherent ability of the proteins to bind metal ions. The protocol involves an initial enrichment of the protein in the pellet fraction following centrifugation of the lysate after cell lysis. Integrase is then solubilized from the pellet at high salt conditions (1 M) with detergent and applied to a nickel-charged iminodiacetic acid-Sepharose column. The enzyme is eluted from the column with imidazole. The resulting protein, which is 70-80% homogeneous, is subsequently purified to homogeneity on a heparin-Sepharose column. The two-column protocol is easily completed in a day and yields approximately 2 mg of enzymatically active protein per gram of wet cell paste.",PubMed
Solution structure of a polypeptide from the N terminus of the HIV protein Nef.,1997,10.1021/bi9629945,9166767,Biochemistry,"Nef is a 27 kDa myristylated phosphoprotein expressed early in infection by HIV. The N terminus of Nef is thought to play a vital role in the functions of this protein through its interactions with membrane structures. The solution structure of a 25-residue polypeptide corresponding to the N terminus of Nef (Nef1-25) has been investigated by 1H NMR spectroscopy. In aqueous solution at pH 4.8 and 281 K, this peptide underwent conformational averaging, with Pro13 existing in cis and trans conformations in nearly equal proportions. In methanol solution, however, the peptide adopted a well-defined alpha-helical structure from residues 6 to 22, with the N- and C-terminal regions having a less ordered structure. On the basis of a comparison of chemical shifts and NOEs, it appeared that this helical structure was maintained in aqueous trifluoroethanol (50% v/v) and to a lesser extent in a solution of SDS micelles. When the N-acetyl group was replaced by either an N-myristyl or a free ammonium group, there was little effect on the three-dimensional structure of the peptide in methanol; deamidation of the C terminus also had no effect on the structure in methanol. In water, the myristylated peptide aggregated. The similarity between the sequences of Nef1-25 and melittin is reflected in the similar structures of the two molecules, although the N-terminal helix of melittin is more defined. This similarity in structure raises the possibility that Nef1-25 not only interacts with membranes but also may be capable of disrupting them and causing cell lysis. This type of interaction could contribute at least in part to the killing of bystander cells in lymphoid tissues during HIV infection.",PubMed
Host site selection for concerted integration by human immunodeficiency virus type-1 virions in vitro.,1997,10.1006/viro.1997.8558,9168883,Virology,"Host site selection for full-site integration by human immunodeficiency virus type-1 (HIV-1) intergrase (IN) from nonionic detergent-lysed virions was investigated. Linear retrovirus-like DNA (469 bp) possessing 3' OH recessed long terminal repeat termini was efficiently inserted by a bimolecular donor reaction into a supercoiled DNA target (2867 bp), producing the HIV-1 5-bp host site duplication. Sequence data were analyzed from 193 donor-target recombinants obtained from the linear 3.8-kb DNA product. The selection of host target sites appeared randomly distributed and was independent of lysis and assay conditions. The fidelity of the 5-bp duplications in comparison to other size duplications was highest (94%) with high-salt (300 mM NaCl) lysis of the virions and 60 mM NaCl for strand transfer using Mg2+ as the divalent cation. Base sequence analysis demonstrated some biases in the 5-bp duplications at the sites of strand transfer and at the immediate host sequences surrounding the duplications. In addition to the observed duplications, approximately 30% of the recombinants isolated from the linear 3.8-kb DNA product contained specific and repetitive small-size deletions. No deletions smaller that 17 bp were observed and the distance between the deletion sets had a periodicity of approximately 10 bp. The mechanisms involved in how HIV-1 IN produces the 5-bp duplications and the repetitive host site deletions are discussed.",PubMed
The product of the UL12.5 gene of herpes simplex virus type 1 is a capsid-associated nuclease.,1997,10.1128/JVI.71.4.3039-3047.1997,9060664,Journal of virology,"The UL12 open reading frame of herpes simplex virus type 1 (HSV-1) encodes a deoxyribonuclease that is frequently referred to as alkaline nuclease (AN) because of its high pH optimum. Recently, an alternate open reading frame designated UL12.5 was identified within the UL12 gene. UL12.5 and UL12 have the same translational stop codon, but the former utilizes an internal methionine codon of the latter gene to initiate translation of a 60-kDa amino-terminal truncated form of AN. Since the role of the UL12.5 protein in the HSV-1 life cycle has not yet been determined, its properties were investigated in this study. Unlike AN, which can be readily solubilized from infected cell lysates, the UL12.5 protein was found to be a highly insoluble species, even when isolated by high-salt detergent lysis. Since many of the structural polypeptides which constitute the HSV-1 virion are similarly insoluble, a potential association of UL12.5 protein with virus particles was examined. By using Western blot analysis, the UL12.5 protein could be readily detected in preparations of intact virions, isolated capsid classes, and even capsids that had been extracted with 2 M guanidine-HCl. In contrast, AN was either missing or present at only low levels in each of these structures. Since the inherent insolubility of the UL12.5 protein prevented its potential deoxyribonuclease activity from being assayed in infected-cell lysates, partially purified fractions of soluble UL12.5 protein were generated by selectively solubilizing either insoluble infected-cell proteins or isolated capsid proteins with urea and renaturing them by stepwise dialysis. Initial analysis of these preparations revealed that they did contain an enzymatic activity that was not present in comparable fractions from cells infected with a UL12.5 null mutant of HSV-1. Additional biochemical characterization revealed that UL12.5 protein was similar to AN with respect to pH optimum, ionic strength, and divalent cation requirements and possessed both exonucleolytic and endonucleolytic functions. The finding that the UL12.5 protein represents a capsid-associated form of AN which exhibits nucleolytic activity suggests that it may play some role in the processing of genomic DNA during encapsidation.",PubMed
"Characterization of Natronobacterium magadii phage phi Ch1, a unique archaeal phage containing DNA and RNA.",1997,10.1046/j.1365-2958.1997.d01-1879.x,9044293,Molecular microbiology,"A novel archaeal bacteriophage, phi Ch1, was isolated from a haloalkalophilic archaeon Natronobacterium magadii upon spontaneous lysis. The phage-cured strain N. magadii(L13) was used to demonstrate infectivity of phage phi Ch1. The turbid-plaque morphology and the fact that N. magadii cells isolated from plaques were able to produce phage indicated that phi Ch1 is a temperate phage. The phage morphology resembles other members of Myoviridae-infecting Halobacterium species. In solution below 2M NaCl, the phage lost its morphological stability and infectivity. One- and two-dimensional SDS-PAGE of phage particles revealed at least four major and five minor proteins with molecular masses ranging from 15 to 80 kDa and acidic isoelectric points. Southern blot analysis of chromosomal DNA of a lysogenic N. magadii strain showed that phi Ch1 exists as a chromosomally integrated prophage. The phage particles contain both double-stranded, linear DNA (approx. 55 kbp) as well as several RNA species (80-700 nucleotides). Hybridization of labelled RNA fragments to total DNA from N. magadii and phi Ch1 showed that the virion-associated RNA is host encoded. Part of the phage DNA population is modified and restriction analysis revealed evidence for adenine methylation. Phage phi Ch1 is the first virus described for the genus natronobacterium, and the first phage containing DNA and RNA in mature phage particles.",PubMed
Structural properties of the putative fusion peptide of hepatitis B virus upon interaction with phospholipids. Circular dichroism and Fourier-transform infrared spectroscopy studies.,1996,10.1111/j.1432-1033.1996.0243r.x,8973639,European journal of biochemistry,"A peptide corresponding to the N-terminal sequence of the S protein from hepatitis B virus (Met-Glu-Asn-Ile-Thr-Ser-Gly-Phe-Leu-Gly-Pro-Leu-Leu-Val-Leu-Gln) has been previously shown to interact with phospholipids and promote vesicle aggregation, phospholipid mixing, and liposome leakage, as well as erythrocyte lysis [Rodríguez-Crespo, I., Núñez, E., Gómez-Gutiérrez, J., Yélamos, B., Albar, J. P., Peterson, D. L. & Gavilanes, F. (1995) J. Gen. Virol. 76, 301-308]. The conformation of this putative fusion peptide has been studied, both at low and high peptide concentrations, by means of circular dichroism and Fourier-transform infrared spectroscopy, respectively. When the peptide is dissolved in trifluoroethanol, a significant population of alpha-helical structure is found in spite of the proline residue at position 11. In contrast, this hydrophobic oligopeptide has a high tendency to form large beta-sheet aggregates in aqueous buffers. Most of these aggregates can be eliminated by centrifugation. The peptide remaining in the supernatant adopts a non-ordered conformation. The aggregates can be dissociated by the anionic detergent sodium cholate, but the peptide still maintains an extended conformation. In the presence of acidic phospholipid vesicles, the putative fusion peptide adopts a highly stable beta-sheet conformation. Thus, unlike the fusion peptides of other viruses, an extended conformation seems to be the preferred structure when interacting with phospholipids. Such a conformation should be responsible for its membrane destabilization properties.",PubMed
Processing of long-stored archival cervical smears for human papillomavirus detection by the polymerase chain reaction.,1995,10.1038/bjc.1995.347,7543772,British journal of cancer,"The efficiency of a freeze-thaw method, a proteinase K/Tween 20 lysis method and a guanidinium isothiocyanate/silica beads method for DNA extraction from fixed and Papanicolaou-stained cells from the cervical cancer cell line Siha was measured by beta-globin polymerase chain reaction (PCR). The GTC/silica beads method, which appeared superior, revealed a human papillomavirus (HPV) general primer-mediated PCR sensitivity of 50-500 copies of HPV 16 per sample using dilutions of fixed and stained Siha cells. Application to archival cervical smears (n = 116) revealed that the yield and size of amplifiable DNA decreases with storage time. The longer the storage time, the more repetitions of the whole procedure, including the lysis step, were required to extract sufficient amplifiable DNA. In this way, an overall beta-globin PCR positivity for 98% of the smears was reached. Further analysis revealed that a maximum size of 200 bp could be amplified from smears stored for up to 9 years. The method was validated by demonstrating by PCR the same HPV types in archival smears and corresponding cervical biopsies of cervical cancer patients. In conclusion, the GTC/silica beads method appears suitable to process archival cervical smears for HPV detection by PCR. provided that stepwise adjustments are made until beta-globin PCR positivity is obtained and primers are chosen which amplify a maximum of about 200 bp.",PubMed
Characterization of the virions of mopyridone-sensitive wild strain and mopyridone-resistant mutant of influenza virus A(H3N2).,1995,,7676940,Acta virologica,"Some differences were established between mopyridone-sensitive (MCU-s) wild strain and mopyridone-resistant (MCU-r) mutant progenies of influenza virus A/Hong Kong/1/68 (H3N2). The virions of MCU-r mutant had a lower buoyant density in linear sucrose gradient as compared to those of MCU-s strain, and an increased ability of aggregation as well. HA content (HAU/micrograms protein) in the purified virions of MCU-r mutant was twice lower as compared to MCU-s strain. The surface glycoproteins of MCU-r mutant were solubilized by octylglucoside faster than those of MCU-s strain. No differences were found between MCU-r strain and MCU-s mutant-induced red blood cell lysis at acid pH, and mopyridone did not influence this phenomenon. MCU-r mutant showed a lower thermostability as compared with MCU-s strain, but similar UV-inactivation curves for both viruses were observed. The quantity of the purified HA-NA complex and M1 protein incorporated into multilamellar liposomes was greater in the case of MCU-s mutant. Electron microscopy examination of liposomes which contained M1 protein from MCU-r mutant manifested pleomorphism with unusual gigantic forms tending to aggregate, whereas MCU-s M1 protein-containing liposomes were uniform and did not form aggregates. No morphological differences were found between the two viruses in HA-NA complex containing liposomes. These data indicate changes in the protein-lipid interactions in MCU-r mutant virions. Amino acid analysis of M1 protein revealed significantly lower content of asparagine, glutamine and serine, and a higher one oof hisitidine in MCU-r mutant as compared to MCU-s wild strain.",PubMed
Mechanism of adenovirus-mediated endosome lysis: role of the intact adenovirus capsid structure.,1994,10.1006/bbrc.1994.2809,7802664,Biochemical and biophysical research communications,"Adenoviruses have been previously shown to enhance the delivery of many ligands including proteins and plasmid DNAs to the cells. The key biochemical step during this process is the ability of adenovirus to disrupt (lyse) the endosome membrane releasing the co-internalized virus and the other ligands into the cytosol (Seth et al, 1986, In: Adenovirus attachment and entry into cells, pp 191-195, American Society for Microbiology, Washington, D.C.). To understand the role of the adenovirus proteins involved in the endosome lysis, it is further shown here that empty capsids of adenovirus also possess this membrane vesicle lytic activity; though the activity is about 5-times lower than the adenovirus. Incubation of adenovirus with low concentration of ionic detergent or brief exposure to 45 degrees C destroyed this lytic activity without affecting the adenovirus binding to cell surface receptor, suggesting the lytic activity of adenovirus to be of enzymatic nature. However, exposing adenovirus to conditions that can disrupt adenovirus capsid structure such as heating at 65 degrees C, treating with 0.5% SDS, treating with different proteases, dialyzing against no glycerol buffer, treating with 6 M urea or with 10% pyridine, and sonication destroyed the adenovirus-associated lytic activity. Results suggest the requirement of an intact capsid structure for adenovirus-mediated lysis of the endosome.",PubMed
